,id,name,nameWithOwner,stargazers.totalCount
62,MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,jquery,jquery/jquery,56060
63,MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindcss,tailwindlabs/tailwindcss,55278
64,MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch,pytorch/pytorch,55122
65,MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,keras,keras-team/keras,54857
66,MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,free-for-dev,ripienaar/free-for-dev,54368
67,MDEwOlJlcG9zaXRvcnkxNTYwMTg=,redis,redis/redis,54282
68,MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==,protobuf,protocolbuffers/protobuf,53747
69,MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,lodash,lodash/lodash,52813
70,MDEwOlJlcG9zaXRvcnkzNjM4OTY0,ansible,ansible/ansible,52689
71,MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=,code-server,coder/code-server,52695
72,MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,gatsby,gatsbyjs/gatsby,52637
73,MDEwOlJlcG9zaXRvcnk0ODY1NTA=,html5-boilerplate,h5bp/html5-boilerplate,52582
74,MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim,neovim/neovim,52169
75,MDEwOlJlcG9zaXRvcnk2NzI3NDczNg==,element,ElemeFE/element,51868
76,MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,core,home-assistant/core,51493
77,MDEwOlJlcG9zaXRvcnk5MTg1Nzky,echarts,apache/echarts,50501
78,MDEwOlJlcG9zaXRvcnk4NTE0,rails,rails/rails,50468
79,MDEwOlJlcG9zaXRvcnk4NDMyMjI=,scikit-learn,scikit-learn/scikit-learn,49583
80,MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv,iptv-org/iptv,48777
81,MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana,grafana/grafana,47878
