,id,name,nameWithOwner,stargazers.totalCount
58,MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,thefuck,nvbn/thefuck,70084
59,MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel,laravel/laravel,69353
60,MDEwOlJlcG9zaXRvcnkzNDcwNDcx,Font-Awesome,FortAwesome/Font-Awesome,69138
61,MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,tech-interview-handbook,yangshun/tech-interview-handbook,68638
62,MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,clean-code-javascript,ryanmcdermott/clean-code-javascript,66061
63,MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,project-based-learning,practical-tutorials/project-based-learning,65985
64,MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust,rust-lang/rust,65510
65,MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,realworld,gothinkster/realworld,65253
66,MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,65058
67,MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,awesome-vue,vuejs/awesome-vue,64631
68,MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,scrcpy,Genymobile/scrcpy,63829
69,MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django,django/django,63433
70,MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin,bitcoin/bitcoin,63301
71,MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,FiraCode,tonsky/FiraCode,63137
72,MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby,moby/moby,62779
73,MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,advanced-java,doocs/advanced-java,62186
74,MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,transformers,huggingface/transformers,60958
75,MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv,opencv/opencv,60892
76,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,webpack/webpack,60847
77,MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,json-server,typicode/json-server,60605
78,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-boot,spring-projects/spring-boot,60587
79,MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular.js,angular/angular.js,59494
80,MDEwOlJlcG9zaXRvcnkxODYxNDU4,reveal.js,hakimel/reveal.js,59360
81,MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,swift,apple/swift,59247
82,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elasticsearch,elastic/elasticsearch,59176
83,MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,Front-End-Checklist,thedaviddias/Front-End-Checklist,58940
84,MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata,netdata/netdata,58828
85,MDEwOlJlcG9zaXRvcnk1OTY4OTI=,flask,pallets/flask,58571
86,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,hugo,gohugoio/hugo,58251
87,MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,redux,reduxjs/redux,57836
88,MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin,gin-gonic/gin,57511
89,MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,svelte,sveltejs/svelte,57346
90,MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom,atom/atom,57318
91,MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm,nvm-sh/nvm,56926
92,MDEwOlJlcG9zaXRvcnk4ODQzNjgz,Chart.js,chartjs/Chart.js,56646
93,MDEwOlJlcG9zaXRvcnkyMzcxNTk=,express,expressjs/express,56635
94,MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love,papers-we-love/papers-we-love,56739
95,MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,jquery,jquery/jquery,56098
96,MDEwOlJlcG9zaXRvcnk1NTc5ODA=,socket.io,socketio/socket.io,55551
97,MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindcss,tailwindlabs/tailwindcss,55508
98,MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch,pytorch/pytorch,55276
99,MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,frp,fatedier/frp,55154
100,MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,keras,keras-team/keras,54921
101,MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,free-for-dev,ripienaar/free-for-dev,54535
102,MDEwOlJlcG9zaXRvcnkxNTYwMTg=,redis,redis/redis,54403
103,MDEwOlJlcG9zaXRvcnk3NjAwNDA5,shadowsocks-windows,shadowsocks/shadowsocks-windows,54206
104,MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,awesome-machine-learning,josephmisiti/awesome-machine-learning,53948
105,MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==,protobuf,protocolbuffers/protobuf,53859
106,MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,every-programmer-should-know,mtdvio/every-programmer-should-know,52935
107,MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=,code-server,coder/code-server,52864
108,MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,lodash,lodash/lodash,52895
109,MDEwOlJlcG9zaXRvcnkzNDAyNTM3,Front-end-Developer-Interview-Questions,h5bp/Front-end-Developer-Interview-Questions,52847
110,MDEwOlJlcG9zaXRvcnkzNjM4OTY0,ansible,ansible/ansible,52792
111,MDEwOlJlcG9zaXRvcnkxODQwODYzNQ==,Apollo-11,chrislgarry/Apollo-11,52700
112,MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,gatsby,gatsbyjs/gatsby,52675
113,MDEwOlJlcG9zaXRvcnk0ODY1NTA=,html5-boilerplate,h5bp/html5-boilerplate,52617
114,MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim,neovim/neovim,52375
115,MDEwOlJlcG9zaXRvcnkxMjA1MzgzMDQ=,nocode,kelseyhightower/nocode,52275
116,MDEwOlJlcG9zaXRvcnk2NzI3NDczNg==,element,ElemeFE/element,51891
117,MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,core,home-assistant/core,51681
118,MDEwOlJlcG9zaXRvcnkxMzM0MzY5,resume.github.com,resume/resume.github.com,51150
119,MDEwOlJlcG9zaXRvcnk5MTg1Nzky,echarts,apache/echarts,50600
120,MDEwOlJlcG9zaXRvcnk4NTE0,rails,rails/rails,50523
121,MDEwOlJlcG9zaXRvcnk5MzA5MDkz,Semantic-UI,Semantic-Org/Semantic-UI,49959
122,MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=,app-ideas,florinpop17/app-ideas,49977
123,MDEwOlJlcG9zaXRvcnk4NDMyMjI=,scikit-learn,scikit-learn/scikit-learn,49668
124,MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv,iptv-org/iptv,49218
125,MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==,awesome-mac,jaywcjlove/awesome-mac,48771
126,MDEwOlJlcG9zaXRvcnkxNDczNTA0NjM=,33-js-concepts,leonardomso/33-js-concepts,48333
127,MDEwOlJlcG9zaXRvcnkyNjg5ODg3OQ==,awesome-public-datasets,awesomedata/awesome-public-datasets,48330
128,MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godot,godotengine/godot,48136
129,MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana,grafana/grafana,48005
130,MDEwOlJlcG9zaXRvcnkyMjY3MDg1Nw==,awesome-react,enaqx/awesome-react,47767
131,MDEwOlJlcG9zaXRvcnkxMzg4Mzk5Nzk=,DeepLearning-500-questions,scutan90/DeepLearning-500-questions,47570
132,MDEwOlJlcG9zaXRvcnkxMjc0MDc5NTc=,leetcode,azl397985856/leetcode,47486
133,MDEwOlJlcG9zaXRvcnkxMzYyNDkw,requests,psf/requests,47234
134,MDEwOlJlcG9zaXRvcnkxNzAwNjIx,normalize.css,necolas/normalize.css,47228
135,MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,spring-framework,spring-projects/spring-framework,47177
136,MDEwOlJlcG9zaXRvcnkxMjI1NjM3Ng==,ionic-framework,ionic-team/ionic-framework,46719
137,MDEwOlJlcG9zaXRvcnkxOTg3MjQ1Ng==,react-router,remix-run/react-router,46636
138,MDEwOlJlcG9zaXRvcnkxNDI0NDcw,moment,moment/moment,46456
139,MDEwOlJlcG9zaXRvcnk4Mzk5OTcwMA==,Best-websites-a-programmer-should-visit,sdmg15/Best-websites-a-programmer-should-visit,46427
140,MDEwOlJlcG9zaXRvcnkyNjA2NjcyNw==,mermaid,mermaid-js/mermaid,46233
141,MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,nestjs/nest,46140
142,MDEwOlJlcG9zaXRvcnk3NTA4NDEx,RxJava,ReactiveX/RxJava,45942
143,MDEwOlJlcG9zaXRvcnk0NzAxODIzOQ==,awesome-interview-questions,DopplerHQ/awesome-interview-questions,45871
144,MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,Web-Dev-For-Beginners,microsoft/Web-Dev-For-Beginners,45868
145,MDEwOlJlcG9zaXRvcnkzOTQ2NDAxOA==,superset,apache/superset,45567
146,MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,Java,TheAlgorithms/Java,45574
147,MDEwOlJlcG9zaXRvcnkyNDk1MzQ0OA==,material-design-icons,google/material-design-icons,45462
148,MDEwOlJlcG9zaXRvcnk1MDI2NDI5Ng==,bulma,jgthms/bulma,45378
149,MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==,tesseract,tesseract-ocr/tesseract,44722
150,MDEwOlJlcG9zaXRvcnk2NTI1Mg==,jekyll,jekyll/jekyll,44446
151,MDEwOlJlcG9zaXRvcnk0MzQ0MTQwMw==,strapi,strapi/strapi,44303
152,MDEwOlJlcG9zaXRvcnkyMTczNzI2Ng==,awesome-nodejs,sindresorhus/awesome-nodejs,44268
153,MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,guava,google/guava,44173
154,MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,cpython,python/cpython,44025
155,MDEwOlJlcG9zaXRvcnkxNDcxMjg1MA==,syncthing,syncthing/syncthing,43988
156,MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi,tiangolo/fastapi,43921
157,MDEwOlJlcG9zaXRvcnk4Mzg0NDcyMA==,face_recognition,ageitgey/face_recognition,43853
158,MDEwOlJlcG9zaXRvcnkzMjY4OTg2Mw==,manim,3b1b/manim,43774
159,MDEwOlJlcG9zaXRvcnk0NjYyOTMwNQ==,hacker-scripts,NARKOZ/hacker-scripts,43628
160,MDEwOlJlcG9zaXRvcnk1NDgzMzMw,you-get,soimort/you-get,43596
161,MDEwOlJlcG9zaXRvcnkxMzgwNzYwNg==,fzf,junegunn/fzf,43530
162,MDEwOlJlcG9zaXRvcnk1Mjk1MDI=,scrapy,scrapy/scrapy,43264
163,MDEwOlJlcG9zaXRvcnkzMjE0NDA2,meteor,meteor/meteor,42868
164,MDEwOlJlcG9zaXRvcnkxOTE1Mjk3MzI=,javascript-questions,lydiahallie/javascript-questions,42581
165,MDEwOlJlcG9zaXRvcnkzNDMwMjY5OA==,serverless,serverless/serverless,42515
166,MDEwOlJlcG9zaXRvcnkyODQyODcyOQ==,awesome-android-ui,wasabeef/awesome-android-ui,42450
167,MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier,prettier/prettier,42395
168,MDEwOlJlcG9zaXRvcnkyMDM1ODc3NDQ=,hoppscotch,hoppscotch/hoppscotch,42244
169,MDEwOlJlcG9zaXRvcnk0MDQxNjIzNg==,big-list-of-naughty-strings,minimaxir/big-list-of-naughty-strings,42188
170,MDEwOlJlcG9zaXRvcnk1MzgwOTA5MA==,anime,juliangarnier/anime,42008
171,MDEwOlJlcG9zaXRvcnk1MTUyMjg1,okhttp,square/okhttp,41942
172,MDEwOlJlcG9zaXRvcnk2ODM4OTIx,prometheus,prometheus/prometheus,41926
173,MDEwOlJlcG9zaXRvcnk0NTk4NjE2Mg==,TensorFlow-Examples,aymericdamien/TensorFlow-Examples,41842
174,MDEwOlJlcG9zaXRvcnkzNjUwMg==,git,git/git,41737
175,MDEwOlJlcG9zaXRvcnk5ODAyOTU5Mg==,learn-regex,ziishaned/learn-regex,41158
176,MDEwOlJlcG9zaXRvcnkzNDMyMjY2,kotlin,JetBrains/kotlin,40946
177,MDEwOlJlcG9zaXRvcnkxMTQ3NDcyMjY=,faceswap,deepfakes/faceswap,40771
178,MDEwOlJlcG9zaXRvcnkxNTQyODQ4MA==,AdminLTE,ColorlibHQ/AdminLTE,40759
179,MDEwOlJlcG9zaXRvcnkyNDU2MDMwNw==,babel,babel/babel,40713
180,MDEwOlJlcG9zaXRvcnk0OTk3MDY0Mg==,yarn,yarnpkg/yarn,40580
181,MDEwOlJlcG9zaXRvcnk5OTU5ODU5NQ==,parcel,parcel-bundler/parcel,40557
182,MDEwOlJlcG9zaXRvcnkyNTc0ODU0MjI=,vite,vitejs/vite,40491
183,MDEwOlJlcG9zaXRvcnk1MTE0ODc4MA==,architecture-samples,android/architecture-samples,40497
184,MDEwOlJlcG9zaXRvcnk5MDUyODgzMA==,awesome-flutter,Solido/awesome-flutter,40111
185,MDEwOlJlcG9zaXRvcnk1MjcxODgy,build-web-application-with-golang,astaxie/build-web-application-with-golang,39998
186,MDEwOlJlcG9zaXRvcnk5ODUyOTE4,Ghost,TryGhost/Ghost,39899
187,MDEwOlJlcG9zaXRvcnk4OTIyNzU=,retrofit,square/retrofit,39832
188,MDEwOlJlcG9zaXRvcnk3MTk5NTkzNw==,nuxt.js,nuxt/nuxt.js,39814
189,MDEwOlJlcG9zaXRvcnkyNjY4OTU5OA==,awesome-courses,prakhar1989/awesome-courses,39805
190,MDEwOlJlcG9zaXRvcnkyNzgzMzUyNzM=,github-readme-stats,anuraghazra/github-readme-stats,39899
191,MDEwOlJlcG9zaXRvcnk3MTk0ODQ5OA==,localstack,localstack/localstack,39601
192,MDEwOlJlcG9zaXRvcnk0NDg4MjIwMQ==,awesome-for-beginners,MunGell/awesome-for-beginners,39542
193,MDEwOlJlcG9zaXRvcnkxMTIyNTAxNA==,etcd,etcd-io/etcd,39508
194,MDEwOlJlcG9zaXRvcnk0MTkxMjc5MQ==,v2ray-core,v2ray/v2ray-core,39390
195,MDEwOlJlcG9zaXRvcnkyMTcwMDY5OQ==,awesome-ios,vsouza/awesome-ios,39311
196,MDEwOlJlcG9zaXRvcnkxNjc1MjYyMA==,gogs,gogs/gogs,38944
197,MDEwOlJlcG9zaXRvcnkxNjQ0MTk2,julia,JuliaLang/julia,38867
198,MDEwOlJlcG9zaXRvcnkzMTAwMTIx,nw.js,nwjs/nw.js,38835
199,MDEwOlJlcG9zaXRvcnkyMzk3NDE0OQ==,materialize,Dogfalo/materialize,38684
200,MDEwOlJlcG9zaXRvcnkxNTA2Mjg2OQ==,jest,facebook/jest,38583
201,MDEwOlJlcG9zaXRvcnkyMjExOTcyMQ==,git-flight-rules,k88hudson/git-flight-rules,38589
